,A,B,C
0,2985.0,71.0,52.0
1,699.0,71.0,232.0
2,749.0,251.0,91.0
3,766.0,254.0,69.0
4,726.0,270.0,220.0
5,744.0,76.0,177.0
6,768.0,545.0,242.0
7,1070.0,277.0,255.0
8,846.0,274.0,79.0
9,750.0,53.0,0.0
10,770.0,244.0,195.0
11,715.0,215.0,151.0
12,732.0,202.0,72.0
13,838.0,141.0,117.0
14,709.0,260.0,89.0
15,750.0,124.0,173.0
16,765.0,151.0,0.0
17,788.0,152.0,178.0
18,879.0,387.0,194.0
19,956.0,366.0,52.0
20,840.0,106.0,211.0
21,740.0,322.0,232.0
22,727.0,144.0,148.0
23,729.0,193.0,80.0
24,694.0,193.0,127.0
25,718.0,91.0,123.0
26,715.0,156.0,74.0
27,720.0,185.0,51.0
28,733.0,204.0,79.0
29,858.0,257.0,139.0
30,820.0,229.0,115.0
31,775.0,164.0,90.0
32,733.0,53.0,71.0
33,702.0,184.0,116.0
34,1056.0,759.0,328.0
35,899.0,243.0,183.0
36,761.0,70.0,69.0
37,792.0,223.0,131.0
38,705.0,153.0,124.0
39,878.0,73.0,206.0
40,810.0,179.0,148.0
41,865.0,207.0,154.0
42,804.0,173.0,164.0
43,697.0,103.0,133.0
44,847.0,158.0,156.0
45,794.0,195.0,0.0
46,747.0,217.0,107.0
47,785.0,228.0,98.0
48,740.0,137.0,0.0
49,712.0,199.0,84.0
50,750.0,186.0,57.0
51,765.0,155.0,86.0
52,768.0,61.0,173.0
53,736.0,182.0,127.0
54,724.0,86.0,127.0
55,784.0,73.0,148.0
56,704.0,176.0,95.0
57,744.0,186.0,105.0
58,783.0,99.0,126.0
59,856.0,197.0,139.0
60,849.0,226.0,136.0
61,2490.0,1255.0,765.0
62,908.0,236.0,111.0
63,2854.0,208.0,319.0
64,2249.0,1052.0,819.0
65,1799.0,138.0,212.0
66,824.0,325.0,130.0
67,817.0,321.0,232.0
68,1326.0,122.0,216.0
69,2230.0,248.0,53.0
70,1173.0,424.0,512.0
71,2277.0,230.0,314.0
72,765.0,132.0,187.0
73,807.0,131.0,149.0
74,764.0,86.0,113.0
75,765.0,90.0,116.0
76,909.0,286.0,162.0
77,914.0,448.0,121.0
78,946.0,414.0,54.0
79,847.0,409.0,150.0
80,852.0,318.0,84.0
81,890.0,55.0,370.0
82,774.0,285.0,100.0
83,704.0,56.0,91.0
84,1142.0,613.0,383.0
85,730.0,254.0,96.0
86,728.0,114.0,181.0
87,754.0,122.0,178.0
88,703.0,51.0,82.0
89,832.0,228.0,67.0
90,710.0,230.0,86.0
91,710.0,87.0,103.0
92,972.0,57.0,247.0
93,737.0,260.0,249.0
94,854.0,54.0,105.0
95,722.0,217.0,82.0
96,718.0,213.0,127.0
97,742.0,138.0,155.0
98,692.0,238.0,221.0
99,786.0,81.0,144.0
