,A,B,C
0,729.0,66.0,66.0
1,781.0,111.0,0.0
2,720.0,81.0,90.0
3,732.0,103.0,79.0
4,694.0,53.0,116.0
5,781.0,71.0,0.0
6,799.0,124.0,153.0
7,717.0,51.0,106.0
8,698.0,74.0,52.0
9,727.0,102.0,135.0
10,696.0,84.0,108.0
11,696.0,79.0,0.0
12,756.0,76.0,53.0
13,693.0,53.0,56.0
14,897.0,199.0,104.0
15,1182.0,290.0,250.0
16,744.0,93.0,0.0
17,825.0,159.0,246.0
18,849.0,268.0,218.0
19,922.0,184.0,170.0
20,1048.0,183.0,216.0
21,704.0,137.0,92.0
22,829.0,124.0,0.0
23,749.0,74.0,104.0
24,729.0,69.0,75.0
25,691.0,65.0,81.0
26,772.0,79.0,68.0
27,723.0,60.0,56.0
28,693.0,51.0,0.0
29,698.0,51.0,0.0
30,727.0,60.0,0.0
31,727.0,54.0,0.0
32,716.0,72.0,68.0
33,691.0,54.0,66.0
34,695.0,56.0,53.0
35,825.0,104.0,96.0
36,792.0,85.0,94.0
37,813.0,85.0,80.0
38,713.0,97.0,73.0
39,716.0,80.0,79.0
40,712.0,90.0,75.0
41,702.0,59.0,52.0
42,722.0,64.0,0.0
43,694.0,75.0,68.0
44,775.0,83.0,60.0
45,712.0,105.0,123.0
46,755.0,91.0,0.0
47,759.0,65.0,74.0
48,731.0,104.0,123.0
49,772.0,105.0,88.0
50,776.0,96.0,117.0
51,782.0,112.0,92.0
52,825.0,84.0,124.0
53,720.0,87.0,91.0
54,699.0,57.0,67.0
55,692.0,69.0,68.0
56,716.0,53.0,53.0
57,721.0,62.0,51.0
58,701.0,77.0,91.0
59,691.0,51.0,60.0
60,710.0,81.0,94.0
61,698.0,75.0,59.0
62,814.0,126.0,92.0
63,727.0,61.0,67.0
64,749.0,66.0,64.0
65,706.0,78.0,62.0
66,733.0,91.0,0.0
67,710.0,53.0,80.0
68,728.0,61.0,0.0
69,709.0,104.0,122.0
70,703.0,59.0,73.0
71,701.0,52.0,75.0
72,700.0,69.0,77.0
73,699.0,57.0,77.0
74,694.0,54.0,51.0
75,741.0,67.0,77.0
76,747.0,95.0,71.0
77,754.0,65.0,56.0
78,697.0,62.0,58.0
79,737.0,55.0,56.0
80,741.0,86.0,56.0
81,697.0,91.0,113.0
82,709.0,83.0,97.0
83,699.0,53.0,56.0
84,713.0,96.0,0.0
85,707.0,65.0,78.0
86,698.0,76.0,112.0
87,719.0,86.0,97.0
88,691.0,74.0,62.0
89,714.0,82.0,55.0
90,693.0,61.0,75.0
91,697.0,53.0,80.0
92,715.0,54.0,80.0
93,692.0,89.0,91.0
94,697.0,78.0,69.0
95,712.0,54.0,74.0
96,709.0,90.0,54.0
97,710.0,82.0,99.0
98,694.0,56.0,58.0
99,799.0,51.0,92.0
