,A,B,C
0,741.0,59.0,0.0
1,842.0,113.0,118.0
2,817.0,116.0,0.0
3,880.0,164.0,81.0
4,903.0,126.0,147.0
5,839.0,64.0,82.0
6,986.0,192.0,111.0
7,739.0,110.0,56.0
8,924.0,112.0,0.0
9,929.0,145.0,115.0
10,766.0,121.0,58.0
11,866.0,151.0,0.0
12,839.0,147.0,0.0
13,720.0,76.0,68.0
14,956.0,168.0,117.0
15,738.0,101.0,90.0
16,727.0,95.0,68.0
17,699.0,111.0,63.0
18,695.0,85.0,0.0
19,992.0,175.0,163.0
20,746.0,102.0,69.0
21,710.0,74.0,74.0
22,711.0,59.0,0.0
23,778.0,120.0,60.0
24,710.0,92.0,57.0
25,726.0,55.0,67.0
26,789.0,59.0,0.0
27,988.0,201.0,111.0
28,746.0,110.0,67.0
29,775.0,118.0,64.0
30,798.0,125.0,88.0
31,768.0,65.0,65.0
32,761.0,105.0,65.0
33,803.0,100.0,54.0
34,732.0,190.0,112.0
35,755.0,111.0,75.0
36,751.0,97.0,0.0
37,694.0,86.0,62.0
38,739.0,93.0,0.0
39,712.0,88.0,86.0
40,713.0,96.0,58.0
41,739.0,103.0,53.0
42,751.0,189.0,75.0
43,775.0,123.0,125.0
44,737.0,70.0,78.0
45,713.0,64.0,78.0
46,743.0,85.0,57.0
47,844.0,136.0,0.0
48,770.0,215.0,57.0
49,708.0,128.0,85.0
50,753.0,221.0,0.0
51,707.0,102.0,83.0
52,706.0,54.0,0.0
53,721.0,92.0,0.0
54,727.0,92.0,53.0
55,763.0,147.0,94.0
56,710.0,68.0,59.0
57,710.0,83.0,64.0
58,783.0,105.0,0.0
59,744.0,67.0,71.0
60,696.0,52.0,0.0
61,731.0,127.0,91.0
62,717.0,54.0,0.0
63,746.0,108.0,79.0
64,723.0,88.0,62.0
65,705.0,53.0,0.0
66,710.0,87.0,55.0
67,731.0,138.0,0.0
68,767.0,120.0,93.0
69,731.0,126.0,94.0
70,786.0,135.0,74.0
71,704.0,78.0,60.0
72,752.0,69.0,0.0
73,704.0,102.0,71.0
74,716.0,75.0,58.0
75,694.0,52.0,67.0
76,701.0,70.0,55.0
77,777.0,88.0,56.0
78,807.0,126.0,95.0
79,776.0,103.0,79.0
80,793.0,72.0,83.0
81,839.0,84.0,0.0
82,706.0,69.0,62.0
83,760.0,124.0,0.0
84,717.0,111.0,75.0
85,771.0,55.0,84.0
86,693.0,66.0,95.0
87,750.0,105.0,94.0
88,783.0,78.0,63.0
89,754.0,114.0,82.0
90,713.0,95.0,80.0
91,868.0,202.0,51.0
92,755.0,138.0,71.0
93,753.0,105.0,66.0
94,750.0,114.0,0.0
95,717.0,174.0,106.0
96,786.0,113.0,80.0
97,706.0,69.0,63.0
98,727.0,84.0,72.0
99,710.0,55.0,59.0
