,A,B,C,S,D
177,521.0,56.0,0.0,1,2
178,0.0,87.0,0.0,2,2
179,553.0,53.0,109.0,2,2
180,0.0,91.0,67.0,2,3
181,696.0,105.0,0.0,3,2
182,0.0,0.0,148.0,2,3
183,572.0,140.0,0.0,3,1
184,0.0,120.0,0.0,1,3
185,548.0,0.0,83.0,3,3
186,0.0,0.0,103.0,3,3
187,545.0,189.0,0.0,3,1
188,0.0,58.0,0.0,1,2
189,0.0,59.0,0.0,2,1
190,526.0,71.0,0.0,1,3
