,A,B,C
0,706.0,82.0,129.0
1,686.0,78.0,127.0
2,711.0,77.0,0.0
3,684.0,78.0,0.0
4,700.0,77.0,128.0
5,691.0,75.0,131.0
6,686.0,76.0,128.0
7,687.0,75.0,127.0
8,706.0,74.0,0.0
9,698.0,80.0,0.0
10,692.0,79.0,126.0
11,690.0,78.0,128.0
12,693.0,78.0,125.0
13,682.0,76.0,124.0
14,691.0,76.0,0.0
15,685.0,80.0,125.0
16,701.0,78.0,0.0
17,693.0,81.0,124.0
18,687.0,78.0,0.0
19,696.0,85.0,0.0
20,696.0,77.0,124.0
21,691.0,75.0,0.0
22,687.0,77.0,124.0
23,683.0,78.0,0.0
24,685.0,80.0,124.0
25,692.0,79.0,126.0
26,697.0,77.0,124.0
27,696.0,80.0,124.0
28,681.0,79.0,123.0
29,696.0,78.0,0.0
30,682.0,80.0,121.0
31,684.0,81.0,120.0
32,688.0,80.0,0.0
33,689.0,81.0,123.0
34,686.0,83.0,121.0
35,687.0,80.0,121.0
36,697.0,82.0,0.0
37,689.0,82.0,123.0
38,682.0,80.0,0.0
39,687.0,81.0,122.0
40,697.0,80.0,121.0
41,683.0,72.0,121.0
42,706.0,82.0,120.0
43,687.0,82.0,0.0
44,698.0,81.0,120.0
45,682.0,82.0,121.0
46,685.0,79.0,120.0
47,689.0,79.0,120.0
48,685.0,79.0,120.0
49,691.0,77.0,120.0
50,684.0,76.0,122.0
51,688.0,77.0,120.0
52,682.0,78.0,120.0
53,697.0,76.0,0.0
54,681.0,78.0,0.0
55,698.0,78.0,119.0
56,684.0,81.0,118.0
57,689.0,77.0,118.0
58,686.0,79.0,119.0
59,691.0,75.0,119.0
60,685.0,78.0,0.0
61,693.0,75.0,119.0
62,691.0,74.0,121.0
63,686.0,74.0,122.0
64,692.0,73.0,120.0
65,685.0,75.0,120.0
66,685.0,74.0,122.0
67,686.0,78.0,122.0
68,683.0,77.0,0.0
69,682.0,76.0,119.0
70,689.0,77.0,117.0
71,683.0,76.0,0.0
72,686.0,74.0,120.0
73,689.0,75.0,121.0
74,688.0,74.0,120.0
75,687.0,74.0,120.0
76,681.0,76.0,120.0
77,683.0,77.0,120.0
78,687.0,78.0,119.0
79,681.0,76.0,121.0
80,690.0,78.0,0.0
81,683.0,77.0,122.0
82,686.0,80.0,0.0
83,695.0,76.0,123.0
84,710.0,73.0,129.0
85,689.0,72.0,128.0
86,706.0,70.0,0.0
87,698.0,65.0,134.0
88,699.0,62.0,134.0
89,701.0,59.0,132.0
90,708.0,62.0,128.0
91,687.0,60.0,126.0
92,706.0,61.0,123.0
93,697.0,57.0,123.0
94,689.0,57.0,124.0
95,707.0,57.0,122.0
96,688.0,56.0,124.0
97,706.0,52.0,126.0
98,697.0,53.0,125.0
99,705.0,54.0,125.0
