,A,B,C
0,672.0,67.0,0.0
1,674.0,90.0,58.0
2,700.0,91.0,64.0
3,674.0,62.0,51.0
4,677.0,68.0,51.0
5,671.0,54.0,0.0
6,960.0,63.0,0.0
7,856.0,72.0,67.0
8,968.0,280.0,215.0
9,678.0,162.0,81.0
10,756.0,89.0,52.0
11,884.0,84.0,0.0
12,971.0,302.0,54.0
13,939.0,122.0,116.0
14,733.0,202.0,0.0
15,678.0,78.0,56.0
16,675.0,67.0,0.0
17,785.0,97.0,85.0
18,797.0,98.0,0.0
19,838.0,317.0,115.0
20,1136.0,273.0,0.0
21,1211.0,344.0,57.0
22,957.0,135.0,166.0
23,878.0,464.0,223.0
24,1072.0,336.0,269.0
25,898.0,82.0,176.0
26,761.0,201.0,211.0
27,875.0,55.0,119.0
28,701.0,178.0,0.0
29,696.0,161.0,88.0
30,771.0,255.0,132.0
31,852.0,114.0,114.0
32,829.0,316.0,134.0
33,821.0,92.0,58.0
34,805.0,293.0,0.0
35,1182.0,331.0,116.0
36,722.0,141.0,0.0
37,805.0,59.0,105.0
38,794.0,198.0,102.0
39,680.0,119.0,65.0
40,754.0,246.0,81.0
41,843.0,58.0,59.0
42,674.0,79.0,70.0
43,733.0,158.0,95.0
44,675.0,174.0,81.0
45,720.0,200.0,86.0
46,676.0,142.0,59.0
47,711.0,134.0,0.0
48,673.0,93.0,52.0
49,729.0,135.0,89.0
50,746.0,129.0,103.0
51,679.0,63.0,0.0
52,674.0,143.0,0.0
53,678.0,154.0,74.0
54,768.0,148.0,84.0
55,799.0,251.0,84.0
56,717.0,86.0,101.0
57,693.0,157.0,0.0
58,671.0,93.0,54.0
59,789.0,133.0,103.0
60,671.0,159.0,74.0
61,836.0,87.0,123.0
62,766.0,202.0,83.0
63,786.0,102.0,111.0
64,718.0,359.0,210.0
65,848.0,220.0,194.0
66,717.0,176.0,91.0
67,734.0,127.0,98.0
68,779.0,144.0,138.0
69,675.0,89.0,0.0
70,698.0,58.0,75.0
71,748.0,141.0,0.0
72,690.0,153.0,71.0
73,691.0,117.0,83.0
74,703.0,52.0,103.0
75,699.0,163.0,0.0
76,797.0,95.0,64.0
77,729.0,173.0,0.0
78,715.0,214.0,98.0
79,672.0,68.0,0.0
80,687.0,108.0,52.0
81,683.0,52.0,0.0
82,688.0,122.0,64.0
83,682.0,214.0,70.0
84,689.0,54.0,112.0
85,688.0,131.0,0.0
86,688.0,63.0,61.0
87,675.0,91.0,63.0
88,741.0,66.0,103.0
89,718.0,153.0,0.0
90,695.0,101.0,75.0
91,734.0,148.0,109.0
92,763.0,110.0,0.0
93,718.0,172.0,97.0
94,692.0,81.0,91.0
95,712.0,142.0,83.0
96,726.0,113.0,0.0
97,741.0,175.0,0.0
98,726.0,109.0,70.0
99,683.0,112.0,0.0
